노데,노데
1111000000,종로구
1114000000,중구
1117000000,용산구
1120000000,성동구
1121500000,광진구
1123000000,동대문구
1126000000,중랑구
1129000000,성북구
1130500000,강북구
1132000000,도봉구
1135000000,노원구
1138000000,은평구
1141000000,서대문구
1144000000,마포구
1147000000,양천구
1150000000,강서구
1153000000,구로구
1154500000,금천구
1156000000,영등포구
1159000000,동작구
1162000000,관악구
1165000000,서초구
1168000000,강남구
1171000000,송파구
1174000000,강동구
2611000000,중구
2614000000,서구
2617000000,동구
2620000000,영도구
2623000000,부산진구
2626000000,동래구
2629000000,남구
2632000000,북구
2635000000,해운대구
2638000000,사하구
2641000000,금정구
2644000000,강서구
2647000000,연제구
2650000000,수영구
2653000000,사상구
2671000000,기장군
2711000000,중구
2714000000,동구
2717000000,서구
2720000000,남구
2723000000,북구
2726000000,수성구
2729000000,달서구
2771000000,달성군
2811000000,중구
2814000000,동구
2817700000,미추홀구
2818500000,연수구
2820000000,남동구
2823700000,부평구
2824500000,계양구
2826000000,서구
2871000000,강화군
2872000000,옹진군
2911000000,동구
2914000000,서구
2915500000,남구
2917000000,북구
2920000000,광산구
3011000000,동구
3014000000,중구
3017000000,서구
3020000000,유성구
3023000000,대덕구
3111000000,중구
3114000000,남구
3117000000,동구
3120000000,북구
3171000000,울주군
4111100000,장안구
4111300000,권선구
4111500000,팔달구
4111700000,영통구
4113100000,수정구
4113300000,중원구
4113500000,분당구
4117100000,만안구
4117300000,동안구
4127100000,상록구
4127300000,단원구
4128100000,덕양구
4128500000,일산동구
4128700000,일산서구
4146100000,처인구
4146300000,기흥구
4146500000,수지구
4180000000,연천군
4182000000,가평군
4183000000,양평군
4272000000,홍천군
4273000000,횡성군
4275000000,영월군
4276000000,평창군
4277000000,정선군
4278000000,철원군
4279000000,화천군
4280000000,양구군
4281000000,인제군
4282000000,고성군
4283000000,양양군
4311100000,상당구
4311200000,서원구
4311300000,흥덕구
4311400000,청원구
4372000000,보은군
4373000000,옥천군
4374000000,영동군
4374500000,증평군
4375000000,진천군
4376000000,괴산군
4377000000,음성군
4380000000,단양군
4413100000,동남구
4413300000,서북구
4471000000,금산군
4476000000,부여군
4477000000,서천군
4479000000,청양군
4480000000,홍성군
4481000000,예산군
4482500000,태안군
4511100000,완산구
4511300000,덕진구
4571000000,완주군
4572000000,진안군
4573000000,무주군
4574000000,장수군
4575000000,임실군
4577000000,순창군
4579000000,고창군
4580000000,부안군
4671000000,담양군
4672000000,곡성군
4673000000,구례군
4677000000,고흥군
4678000000,보성군
4679000000,화순군
4680000000,장흥군
4681000000,강진군
4682000000,해남군
4683000000,영암군
4684000000,무안군
4686000000,함평군
4687000000,영광군
4688000000,장성군
4689000000,완도군
4690000000,진도군
4691000000,신안군
4711100000,남구
4711300000,북구
4772000000,군위군
4773000000,의성군
4775000000,청송군
4776000000,영양군
4777000000,영덕군
4782000000,청도군
4783000000,고령군
4784000000,성주군
4785000000,칠곡군
4790000000,예천군
4792000000,봉화군
4793000000,울진군
4794000000,울릉군
4812100000,의창구
4812300000,성산구
4812500000,마산합포구
4812700000,마산회원구
4812900000,진해구
4872000000,의령군
4873000000,함안군
4874000000,창녕군
4882000000,고성군
4884000000,남해군
4885000000,하동군
4886000000,산청군
4887000000,함양군
4888000000,거창군
4889000000,합천군
