company,type,address,gu,dong
청와대 제 101 경비단,폐수배출업소관리,서울특별시 종로구 궁정동 8-1번지 ,종로구,궁정동
혜화카프라자,폐수배출업소관리,서울특별시 종로구 명륜1가 32-2번지 ,종로구,명륜1가
혜화카프라자,폐수배출업소관리,서울특별시 종로구 명륜1가 32-2번지 ,종로구,명륜1가
삼성세차장,폐수배출업소관리,서울특별시 종로구 효자동 60-1번지 ,종로구,효자동
세란병원 종합검진센터,폐수배출업소관리,서울특별시 종로구 무악동 66-3번지 ,종로구,무악동
세란병원,폐수배출업소관리,서울특별시 종로구 무악동 32-2번지 ,종로구,무악동
(주)지에스이앤알 평창주유소,폐수배출업소관리,서울특별시 종로구 평창동 80-1번지 ,종로구,평창동
상명대학교,폐수배출업소관리,서울특별시 종로구 홍지동 7번지 상명대학교 ,종로구,홍지동
국군서울지구병원,폐수배출업소관리,서울특별시 종로구 삼청동 25-1번지 ,종로구,삼청동
서울적십자 병원,폐수배출업소관리,서울특별시 종로구 평동 164번지 ,종로구,평동
서울대학교 병원,폐수배출업소관리,서울특별시 종로구 연건동 28번지 ,종로구,연건동
서울대학교 의과대학,폐수배출업소관리,서울특별시 종로구 연건동 28번지 ,종로구,연건동
서울대학교병원 암센터,폐수배출업소관리,서울특별시 종로구 연건동 28-21번지 ,종로구,연건동
월드염색,폐수배출업소관리,서울특별시 종로구 종로6가 239-29번지 ,종로구,종로6가
정원염색,폐수배출업소관리,서울특별시 종로구 종로6가 32-5번지 1층 ,종로구,종로6가
종로염색,폐수배출업소관리,서울특별시 종로구 효제동 197-1번지 ,종로구,효제동
경희대학교 지구환경연구소,폐수배출업소관리,서울특별시 종로구 권농동 115-3번지 ,종로구,권농동
깨끗한도금,폐수배출업소관리,서울특별시 종로구 봉익동 14번지 ,종로구,봉익동
종로염색,폐수배출업소관리,서울특별시 종로구 효제동 197-1번지 ,종로구,효제동
아트섬유,폐수배출업소관리,서울특별시 종로구 종로5가 459번지 1층 ,종로구,종로5가
성신염색,폐수배출업소관리,서울특별시 종로구 종로5가 456-2번지 1층 ,종로구,종로5가
정원염색,폐수배출업소관리,서울특별시 종로구 종로6가 32-5번지 1층 ,종로구,종로6가
진영염색,폐수배출업소관리,서울특별시 종로구 종로6가 33-9번지 ,종로구,종로6가
태평양염색,폐수배출업소관리,서울특별시 종로구 종로5가 444-3번지 1층 ,종로구,종로5가
종로염색,폐수배출업소관리,서울특별시 종로구 효제동 197-1번지 ,종로구,효제동
대신섬유,폐수배출업소관리,서울특별시 종로구 종로6가 32-1번지 ,종로구,종로6가
진영염색,폐수배출업소관리,서울특별시 종로구 종로6가 33-9번지 ,종로구,종로6가
정원염색,폐수배출업소관리,서울특별시 종로구 종로6가 32-5번지 1층 ,종로구,종로6가
종로염색,폐수배출업소관리,서울특별시 종로구 효제동 197-1번지 ,종로구,효제동
한국섬유,폐수배출업소관리,서울특별시 종로구 종로5가 460-1번지 ,종로구,종로5가
진영염색,폐수배출업소관리,서울특별시 종로구 종로6가 33-9번지 ,종로구,종로6가
진영염색,폐수배출업소관리,서울특별시 종로구 종로6가 33-9번지 ,종로구,종로6가
반도염색,폐수배출업소관리,서울특별시 종로구 종로6가 97번지 ,종로구,종로6가
정원염색,폐수배출업소관리,서울특별시 종로구 종로6가 32-5번지 1층 ,종로구,종로6가
종로염색,폐수배출업소관리,서울특별시 종로구 효제동 197-1번지 ,종로구,효제동
블레스,폐수배출업소관리,서울특별시 종로구 봉익동 7-1번지 ,종로구,봉익동
정원염색,폐수배출업소관리,서울특별시 종로구 종로6가 32-5번지 1층 ,종로구,종로6가
반도염색,폐수배출업소관리,서울특별시 종로구 종로6가 97번지 ,종로구,종로6가
아트섬유,폐수배출업소관리,서울특별시 종로구 종로5가 459번지 1층 ,종로구,종로5가
진영염색,폐수배출업소관리,서울특별시 종로구 종로6가 33-9번지 ,종로구,종로6가
정원염색,폐수배출업소관리,서울특별시 종로구 종로6가 32-5번지 1층 ,종로구,종로6가
태평양염색,폐수배출업소관리,서울특별시 종로구 종로5가 444-3번지 1층 ,종로구,종로5가
성신염색,폐수배출업소관리,서울특별시 종로구 종로5가 456-2번지 1층 ,종로구,종로5가
월드염색,폐수배출업소관리,서울특별시 종로구 종로6가 239-29번지 ,종로구,종로6가
종로염색,폐수배출업소관리,서울특별시 종로구 효제동 197-1번지 ,종로구,효제동
원일문화사,폐수배출업소관리,서울특별시 종로구 창신동 329-8번지 ,종로구,창신동
동남문화사,폐수배출업소관리,서울특별시 종로구 창신동 330-24번지 ,종로구,창신동
비젼애드커뮤니케이션,폐수배출업소관리,서울특별시 종로구 창신동 330-30번지 1층 ,종로구,창신동
백양염색,폐수배출업소관리,서울특별시 종로구 창신동 421-1번지 ,종로구,창신동
민쥬얼리,폐수배출업소관리,서울특별시 종로구 연지동 123번지 ,종로구,연지동
제일기획,폐수배출업소관리,서울특별시 종로구 묘동 33번지 ,종로구,묘동
케이와이쥬얼리,폐수배출업소관리,서울특별시 종로구 연지동 125번지 ,종로구,연지동
창신사,폐수배출업소관리,서울특별시 종로구 묘동 78번지 ,종로구,묘동
와이에이치이골드,폐수배출업소관리,서울특별시 종로구 묘동 35-1번지 ,종로구,묘동
팔구사,폐수배출업소관리,서울특별시 종로구 권농동 186번지 ,종로구,권농동
